,customer_ID,frequency_score,spending_score
0,12346.0,48,580.44
1,12347.0,253,644.16
2,12348.0,51,193.1
3,12350.0,17,65.3
4,12351.0,21,49.46
5,12353.0,24,63.08
6,12354.0,58,261.22
7,12355.0,35,107.43
8,12356.0,143,450.25
9,12358.0,77,413.34
10,12360.0,218,736.13
11,12361.0,29,112.25
12,12363.0,23,53.17
13,12364.0,85,162.37
14,12365.0,23,698.0
15,12366.0,3,5.07
16,12367.0,11,35.2
17,12368.0,18,79.05
18,12369.0,93,292.85
19,12370.0,202,692.01
20,12371.0,167,665.9300000000001
21,12372.0,52,156.07
22,12373.0,51,236.0
23,12374.0,83,288.72
24,12375.0,18,119.60000000000001
25,12376.0,13,104.4
26,12377.0,152,416.52
27,12378.0,301,1017.41
28,12379.0,82,237.5
29,12381.0,91,417.04
30,12382.0,1,18.38
31,12383.0,100,309.36
32,12384.0,30,227.27
33,12385.0,66,254.25
34,12386.0,18,45.72
35,12387.0,9,24.86
36,12388.0,146,412.41
37,12389.0,49,130.06
38,12390.0,32,127.9
39,12392.0,7,35.25
40,12393.0,112,283.8
41,12394.0,27,91.00999999999999
42,12395.0,257,920.24
43,12396.0,65,149.46
44,12397.0,126,437.0
45,12398.0,85,169.38
46,12399.0,110,224.56
47,12400.0,11,32.05
48,12401.0,5,48.4
49,12402.0,71,244.1
50,12403.0,10,81.93
51,12404.0,1,63.24
52,12405.0,54,191.39000000000001
53,12406.0,170,472.46
54,12407.0,77,251.59
55,12408.0,170,529.03
56,12409.0,272,879.67
57,12410.0,42,252.84
58,12411.0,22,74.7
59,12412.0,131,337.41
60,12413.0,53,328.99
61,12414.0,37,631.34
62,12416.0,11,16.88
63,12418.0,103,345.48
64,12419.0,25,126.09
65,12420.0,29,136.51
66,12421.0,67,312.14
67,12423.0,166,490.94
68,12424.0,97,222.5
69,12425.0,95,228.19
70,12426.0,82,296.81
71,12427.0,45,210.42
72,12429.0,174,577.32
73,12430.0,11,68.48
74,12434.0,74,266.25
75,12435.0,112,417.66
76,12436.0,16,84.28
77,12438.0,98,381.7
78,12439.0,75,271.46
79,12440.0,35,189.79
80,12441.0,22,81.42
81,12442.0,12,40.08
82,12443.0,21,123.28
83,12445.0,25,91.54
84,12446.0,58,248.1
85,12447.0,26,92.93
86,12448.0,22,130.94
87,12449.0,201,732.62
88,12450.0,40,90.48
89,12452.0,23,99.67
90,12453.0,43,102.91
91,12454.0,72,581.72
92,12455.0,227,888.71
93,12456.0,129,461.37
94,12457.0,93,520.65
95,12458.0,84,333.05
96,12459.0,23,95.42
97,12460.0,18,78.86
98,12461.0,35,149.06
99,12462.0,72,332.42
100,12463.0,88,269.91
101,12464.0,29,343.15
102,12465.0,51,138.02
103,12466.0,1,56.73
104,12467.0,18,29.12
105,12468.0,163,456.8
106,12469.0,76,227.97
107,12470.0,23,90.35
108,12475.0,61,188.72
109,12478.0,36,163.36
110,12479.0,35,91.42999999999999
111,12480.0,245,804.69
112,12483.0,148,1047.57
113,12485.0,34,81.96
114,12486.0,49,201.07999999999998
115,12487.0,3,4.85
116,12488.0,55,205.41
117,12489.0,15,88.62
118,12491.0,26,87.8
119,12492.0,42,136.95
120,12493.0,23,111.75
121,12494.0,122,513.93
122,12495.0,19,114.0
123,12496.0,13,28.02
124,12497.0,58,143.68
125,12498.0,23,96.55
126,12499.0,27,62.9
127,12500.0,156,748.61
128,12501.0,160,387.32
129,12502.0,147,944.51
130,12504.0,26,186.3
131,12505.0,47,209.25
132,12506.0,23,73.5
133,12507.0,51,205.47
134,12508.0,69,118.71000000000001
135,12509.0,7,38.95
136,12511.0,194,668.83
137,12512.0,34,87.7
138,12513.0,36,80.57
139,12514.0,84,227.44
140,12515.0,16,108.5
141,12516.0,74,165.2
142,12517.0,286,671.48
143,12518.0,124,351.81
144,12519.0,42,132.47
145,12520.0,155,526.09
146,12521.0,38,113.84
147,12522.0,12,60.010000000000005
148,12524.0,242,769.68
149,12525.0,77,284.46
150,12526.0,71,238.12
151,12527.0,32,82.93
152,12528.0,95,512.34
153,12529.0,23,68.56
154,12530.0,162,556.82
155,12531.0,133,342.31
156,12532.0,16,59.17
157,12533.0,90,298.62
158,12534.0,63,191.23
159,12535.0,34,151.35
160,12537.0,43,125.68
161,12538.0,34,130.18
162,12541.0,52,188.02
163,12542.0,45,141.74
164,12543.0,43,112.37
165,12544.0,20,82.27000000000001
166,12545.0,50,201.19
167,12546.0,70,222.0
168,12547.0,21,103.67
169,12548.0,5,33.6
170,12549.0,49,80.78999999999999
171,12550.0,57,176.15
172,12551.0,10,16.8
173,12552.0,20,182.31
174,12553.0,244,846.19
175,12554.0,26,99.43
176,12555.0,1,129.23
177,12556.0,121,322.14
178,12557.0,58,126.06
179,12558.0,22,27.5
180,12559.0,22,87.28
181,12560.0,111,315.8
182,12561.0,16,47.43
183,12562.0,207,675.99
184,12563.0,13,50.98
185,12564.0,21,117.1
186,12565.0,10,24.11
187,12566.0,20,79.12
188,12568.0,5,31.17
189,12569.0,191,1061.65
190,12570.0,1,77.52
191,12571.0,34,44.9
192,12572.0,62,269.37
193,12573.0,119,263.39
194,12574.0,11,57.2
195,12575.0,38,135.67000000000002
196,12576.0,147,390.93
197,12577.0,303,558.06
198,12578.0,181,555.58
199,12579.0,31,116.77
200,12580.0,58,151.19
201,12581.0,15,43.39
202,12582.0,103,397.12
203,12584.0,126,938.1
204,12585.0,97,339.25
205,12586.0,96,498.42
